Name,Postion,Cost,Points,Predicted Points,Predicted Cost,Cost Diff,Point Diff
de Gea,1,55,143,104.0,40.0,-15.0,-39.0
Mings,2,50,90,103.0,49.0,-1.0,13.0
Fernández,2,50,102,103.0,51.0,1.0,1.0
Pépé,3,80,106,103.0,67.0,-13.0,-3.0
McArthur,3,55,92,102.0,54.0,-1.0,10.0
Haller,4,65,102,102.0,67.0,2.0,0.0
Aké,2,55,79,102.0,55.0,0.0,23.0
Kovacic,3,55,68,102.0,59.0,4.0,34.0
Antonio,4,65,111,101.0,78.0,13.0,-10.0
Bednarek,2,45,84,99.0,47.0,2.0,15.0
Almirón,3,60,109,99.0,57.0,-3.0,-10.0
Højbjerg,3,50,75,97.0,56.0,6.0,22.0
Pröpper,3,50,78,97.0,54.0,4.0,19.0
David Luiz,2,55,94,97.0,49.0,-6.0,3.0
Burn,2,45,86,97.0,48.0,3.0,11.0
Lucas Moura,3,70,100,96.0,64.0,-6.0,-4.0
Greenwood,3,75,103,96.0,70.0,-5.0,-7.0
Keane,2,50,90,95.0,50.0,0.0,5.0
Gündogan,3,55,65,95.0,61.0,6.0,30.0
Bertrand,2,50,75,95.0,51.0,1.0,20.0
Trossard,3,60,104,95.0,63.0,3.0,-9.0
Groß,3,60,76,94.0,65.0,5.0,18.0
Ndidi,3,50,85,94.0,54.0,4.0,9.0
Fernandes,3,105,117,94.0,76.0,-29.0,-23.0
Cresswell,2,50,79,94.0,51.0,1.0,15.0
Alonso,2,60,100,94.0,63.0,3.0,-6.0
Alli,3,80,117,93.0,64.0,-16.0,-24.0
Douglas Luiz,3,50,90,93.0,55.0,5.0,3.0
Targett,2,45,80,93.0,53.0,8.0,13.0
Alisson,1,60,122,91.0,45.0,-15.0,-31.0
McCarthy,1,45,104,89.0,50.0,5.0,-15.0
Dendoncker,3,50,100,88.0,51.0,1.0,-12.0
Fred,3,55,50,88.0,58.0,3.0,38.0
McGinn,3,55,84,88.0,58.0,3.0,4.0
Mina,2,55,78,88.0,52.0,-3.0,10.0
